timestamp,CPU_Usage,GPU_Usage,RAM_Usage,VRAM_Usage,FPS
01:00,12,15,4050,1900,62
01:30,14,18,4062,1920,61
02:00,17,22,4078,1950,59
02:30,20,27,4090,1980,57
03:00,24,30,4105,2000,56
03:30,27,34,4120,2030,55
04:00,30,37,4140,2060,54
04:30,32,40,4160,2080,53
05:00,35,44,4185,2100,52
05:30,37,47,4200,2120,51
06:00,39,49,4220,2150,51
06:30,41,52,4240,2170,52
07:00,43,54,4260,2190,53
07:30,45,57,4275,2210,54
08:00,46,58,4290,2230,55
08:30,48,60,4300,2245,56
09:00,49,61,4310,2260,58
09:30,50,62,4320,2270,59
10:00,50,63,4330,2280,60
10:30,49,62,4340,2290,61
11:00,48,61,4350,2295,61
11:30,46,60,4360,2300,60
12:00,44,58,4370,2305,59
12:30,42,56,4380,2310,58
13:00,40,54,4390,2315,57
13:30,38,52,4400,2320,56
14:00,36,50,4410,2325,55
14:30,35,48,4420,2330,54
15:00,33,47,4430,2335,53
15:30,32,45,4440,2340,52
16:00,30,44,4450,2345,52
16:30,29,42,4460,2350,51
17:00,28,41,4470,2355,50
17:30,26,40,4480,2360,49
18:00,25,39,4490,2365,49
18:30,24,38,4500,2370,48
19:00,23,37,4510,2375,48
19:30,22,36,4520,2380,49
20:00,21,35,4530,2385,50
20:30,20,34,4540,2390,51
21:00,19,33,4550,2395,52
21:30,18,32,4560,2400,53
22:00,17,31,4570,2405,54
22:30,16,30,4580,2410,55
23:00,15,28,4590,2415,56
23:30,14,26,4600,2420,58
24:00,13,24,4610,2430,60
